DATE,TIME,APPX,SECONDARY DATE,APPX 2,TRANS_ID,BBREFID,TYPE,FROMT,FLEAGUE,TTEAM,TLEAGUE,,,,
20061207,,,,,54736,Adam Donachie,T ,PHI,NL,BAL,AL,,,,
19861211,,,,,51465,Adam Ging,T ,SDN,NL,NYN,NL,,,,
20060905,,,,,53319,Adam Harben,T ,MIN,AL,CHN,NL,,,,
20011102,,,,,52808,Adam Morrissey,T ,CHN,NL,OAK,AL,,,,
20110202,,,,,62314,Adam Olbrychowski,T ,NYA,AL,WAS,NL,,,,
19980728,,,,,52454,Adam Robinson,T ,OAK,AL,CLE,AL,,,,
20040827,,,,,53105,Adam Seuss,T ,HOU,NL,NYN,NL,,,,
20010727,,,,,52786,Adam Walker,T ,PHI,NL,NYN,NL,,,,
20111117,,,,,69010,Adam Worthington,T ,ARI,NL,PHI,NL,,,,
20090609,,,20090616,,73485,adama001,Da,,,CLE,AL,,5,,
20080605,,,,,73484,adama001,Dn,,,MIL,NL,,27,,
19401001,,,,,187,adama101,D ,BRO,NL,NY1,NL,,,,
19360000,,,,,186,adama101,M ,Jeanerette,(Evangeline),BRO,NL,,,,
19450508,,,,,49141,adamb101,T ,PHI,NL,SLN,NL,,,,
19430601,,,,,49110,adamb101,T ,SLN,NL,PHI,NL,,,,
19470321,,,,,188,adamb101,P ,SLN,NL,PHI,NL,,,,
19310000,,,,,189,adamb102,Fa,,,PHI,NL,,,,
19551018,,,,,49460,adamb103,T ,CHA,AL,BAL,AL,,,,
19590512,,,,,196,adamb103,R ,CHN,NL,,,,,,
19570000,,,,,195,adamb103,F ,,,CHN,NL,,,,
19560717,,,,,194,adamb103,R ,BAL,AL,,,,,,
19560604,,,,,193,adamb103,F ,,,BAL,AL,,,,
19560528,,,,,192,adamb103,R ,BAL,AL,,,,,,
19550726,,,,,191,adamb103,P ,CIN,NL,CHA,AL,,,,
19390000,,,,,190,adamb103,Fa,,,CIN,NL,,,,
19070813,,,,,63002,adamb104,P ,Denver,(Western),PIT,NL,,,,
19260813,,,,,56876,adamb104,R ,PIT,NL,,,,,,
19180724,,,,,56875,adamb104,L ,Kansas City,(American Association),PIT,NL,,,,
19160803,,,,,56874,adamb104,R ,PIT,NL,,,,,,
19060500,,@,,,53439,adamb104,P ,SLN,NL,Louisville,(American Association),,,,
19060000,,,,,53438,adamb104,P ,Parsons,(Missouri Valley),SLN,NL,,,,
19730605,,,,,198,adamb105,Da,,,DET,AL,,3,,
19150104,,,,,48524,adamb106,T ,NY1,NL,PHI,NL,,,,
20070914,,,,,73575,adamc001,Fa,,,COL,NL,,,,
20151106,,,,,77395,adamd001,Fg,MIA,NL,,,,,,
20150130,,,,,75250,adamd001,F ,,,MIA,NL,,,,
20141104,,,,,74271,adamd001,Fg,BAL,AL,,,,,,
20140322,,,,,72755,adamd001,W ,CLE,AL,BAL,AL,,,,
20131213,,,,,71865,adamd001,F ,,,CLE,AL,,,,
